state,year,pdf_link,doc_name,doc_number,scraped_at
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620879,Apparent Bid Results 08-25-2023,36620879,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620860,Apparent Bid Results 07-28-2023,36620860,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620828,Apparent Bid Results 06-09-2023,36620828,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620843,Apparent Bid Results 06-23-2023,36620843,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620806,Apparent Bid Results 05-19-2023,36620806,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620787,Apparent Bid Results 05-12-2023,36620787,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620570,Apparent Bid Results 04-28-2023,36620570,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620553,Apparent Bid Results 03-24-2023,36620553,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620491,Apparent Bid Results 02-09-2023,36620491,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620527,Apparent Bid Results 02-24-2023,36620527,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620509,Apparent Bid Results 02-10-2023,36620509,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620471,Apparent Bid Results 01-27-2023,36620471,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620042,Apparent Bid Results 01-18-2023 DB,36620042,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620009,Apparent Bid Results 01-11-2023 DB,36620009,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620899,Apparent Bid Results 09-22-2023,36620899,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36523105,Apparent Bid Results 10-27-2023,36523105,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36943562,Apparent Bid Results 11-17-2023,36943562,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=37166323,Apparent Bid Results 11-29-2023 BV,37166323,2025-11-22T17:45:59.361442
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=37174263,Apparent Bid Results 12-1-2023,37174263,2025-11-22T17:45:59.361442
