state,year,pdf_link,doc_name,doc_number,scraped_at,download_status,download_path,download_error,downloaded_at
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620879,Apparent Bid Results 08-25-2023,36620879.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620879.0.pdf,,2025-11-22T18:15:02.658283
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620860,Apparent Bid Results 07-28-2023,36620860.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620860.0.pdf,,2025-11-22T18:15:05.066093
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620828,Apparent Bid Results 06-09-2023,36620828.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620828.0.pdf,,2025-11-22T18:15:07.464571
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620843,Apparent Bid Results 06-23-2023,36620843.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620843.0.pdf,,2025-11-22T18:15:09.861474
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620806,Apparent Bid Results 05-19-2023,36620806.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620806.0.pdf,,2025-11-22T18:15:11.866144
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620787,Apparent Bid Results 05-12-2023,36620787.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620787.0.pdf,,2025-11-22T18:15:13.812172
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620570,Apparent Bid Results 04-28-2023,36620570.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620570.0.pdf,,2025-11-22T18:15:15.927142
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620553,Apparent Bid Results 03-24-2023,36620553.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620553.0.pdf,,2025-11-22T18:15:18.072617
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620491,Apparent Bid Results 02-09-2023,36620491.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620491.0.pdf,,2025-11-22T18:15:20.098006
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620527,Apparent Bid Results 02-24-2023,36620527.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620527.0.pdf,,2025-11-22T18:15:22.074255
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620509,Apparent Bid Results 02-10-2023,36620509.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620509.0.pdf,,2025-11-22T18:15:24.310150
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620471,Apparent Bid Results 01-27-2023,36620471.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620471.0.pdf,,2025-11-22T18:15:27.057995
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620042,Apparent Bid Results 01-18-2023 DB,36620042.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620042.0.pdf,,2025-11-22T18:15:29.080251
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620009,Apparent Bid Results 01-11-2023 DB,36620009.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620009.0.pdf,,2025-11-22T18:15:31.221550
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620899,Apparent Bid Results 09-22-2023,36620899.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36620899.0.pdf,,2025-11-22T18:15:33.385317
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36523105,Apparent Bid Results 10-27-2023,36523105.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36523105.0.pdf,,2025-11-22T18:15:36.101021
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36943562,Apparent Bid Results 11-17-2023,36943562.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_36943562.0.pdf,,2025-11-22T18:15:38.355651
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=37166323,Apparent Bid Results 11-29-2023 BV,37166323.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_37166323.0.pdf,,2025-11-22T18:15:40.666841
MN,2023.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=37174263,Apparent Bid Results 12-1-2023,37174263.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_37174263.0.pdf,,2025-11-22T18:15:43.178516
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38503385,Apparent Bid Results 02-23-2024,38503385.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38503385.0.pdf,,2025-11-22T18:15:45.262772
