state,year,doc_name,pdf_link
IA,2025,10/22/25 Bid Tabulations,https://iowadot.gov/media/12608/download?inline
IA,2025,9/23/25 Bid Tabulations,https://iowadot.gov/media/12408/download?inline
IA,2025,9/16/25 Bid Tabulations,https://iowadot.gov/media/12382/download?inline
IA,2025,8/19/25 Bid Tabulations,https://iowadot.gov/media/12248/download?inline
IA,2025,7/15/25 Bid Tabulations,https://iowadot.gov/media/12027/download?inline
IA,2025,06/17/25 Bid Tabulations,https://iowadot.gov/media/11923/download?inline
IA,2025,06/03/25 Bid Tabulations,https://iowadot.gov/media/11864/download?inline
IA,2025,05/20/25 Bid Tabulations,https://iowadot.gov/media/11829/download?inline
IA,2025,04/15/25 Bid Tabulations,https://iowadot.gov/media/11450/download?inline
IA,2025,04/01/25 Bid Tabulations,https://iowadot.gov/media/10502/download?inline
IA,2025,3/18/25 Bid Tabulations,https://iowadot.gov/media/10341/download?inline
IA,2025,2/18/25 Bid Tabulation,https://iowadot.gov/media/4013/download?inline
IA,2025,1/22/25 Bid Tabulation,https://iowadot.gov/media/4014/download?inline
IA,2024,11/19/2024 Bid Tabulation,https://iowadot.gov/media/2463/download?inline
IA,2024,12/17/2024 Bid Tabulation,https://iowadot.gov/media/2465/download?inline
IA,2024,12/03/2024 Bid Tabulation,https://iowadot.gov/media/2462/download?inline
IA,2024,10/15/2024 Bid Tabulation,https://iowadot.gov/media/2459/download?inline
IA,2024,09/17/2024 Bid Tabulation,https://iowadot.gov/media/2453/download?inline
IA,2024,10/22/2024 Bid Tabulation,https://iowadot.gov/media/2461/download?inline
IA,2024,10/08/2024 Bid Tabulation,https://iowadot.gov/media/2455/download?inline
IA,2024,09/24/2024 Bid Tabulation,https://iowadot.gov/media/2454/download?inline
IA,2024,09/04/2024 Bid Tabulation,https://iowadot.gov/media/2452/download?inline
IA,2024,07/16/2024 Bid Tabulation,https://iowadot.gov/media/2448/download?inline
IA,2024,08/06/2024 Bid Tabulation,https://iowadot.gov/media/4320/download?inline
IA,2024,08/20/2024 Bid Tabulation,https://iowadot.gov/media/2450/download?inline
IA,2024,07/30/2024 Bid Tabulation,https://iowadot.gov/media/2449/download?inline
IA,2024,06/18/2024 Bid Tabulation,https://iowadot.gov/media/2447/download?inline
IA,2024,05/21/2024 Bid Tabulation,https://iowadot.gov/media/2446/download?inline
IA,2024,04/16/2024 Bid Tabulation,https://iowadot.gov/media/2445/download?inline
IA,2024,03/19/2024 Bid Tabulation,https://iowadot.gov/media/2444/download?inline
IA,2024,02/20/2024 Bid Tabulation,https://iowadot.gov/media/4294/download?inline
IA,2024,2/20/24 Bid Tabluation,https://iowadot.gov/media/2443/download?inline
IA,2024,1/17/24 Bid Tablulation,https://iowadot.gov/media/2442/download?inline
