state,year,doc_number,doc_name,pdf_link
MN,2023,36620879,Apparent Bid Results 08-25-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620879
MN,2023,36620860,Apparent Bid Results 07-28-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620860
MN,2023,36620828,Apparent Bid Results 06-09-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620828
MN,2023,36620843,Apparent Bid Results 06-23-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620843
MN,2023,36620806,Apparent Bid Results 05-19-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620806
MN,2023,36620787,Apparent Bid Results 05-12-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620787
MN,2023,36620570,Apparent Bid Results 04-28-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620570
MN,2023,36620553,Apparent Bid Results 03-24-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620553
MN,2023,36620491,Apparent Bid Results 02-09-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620491
MN,2023,36620527,Apparent Bid Results 02-24-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620527
MN,2023,36620509,Apparent Bid Results 02-10-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620509
MN,2023,36620471,Apparent Bid Results 01-27-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620471
MN,2023,36620042,Apparent Bid Results 01-18-2023 DB,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620042
MN,2023,36620009,Apparent Bid Results 01-11-2023 DB,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620009
MN,2023,36620899,Apparent Bid Results 09-22-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36620899
MN,2023,36523105,Apparent Bid Results 10-27-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36523105
MN,2023,36943562,Apparent Bid Results 11-17-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=36943562
MN,2023,37166323,Apparent Bid Results 11-29-2023 BV,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=37166323
MN,2023,37174263,Apparent Bid Results 12-1-2023,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=37174263
MN,2024,38503385,Apparent Bid Results 02-23-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38503385
MN,2024,38081989,Apparent Bid Results 01-26-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38081989
MN,2024,38573247,Apparent Bid Results 03-08-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38573247
MN,2024,38580449,Apparent Bid Results 03-22-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38580449
MN,2024,38599721,Apparent Bid Results 04-26-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38599721
MN,2024,38604986,Apparent Bid Results 05-08-2024 DB,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38604986
MN,2024,38606234,Apparent Bid Results 05-10-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38606234
MN,2024,38621253,Apparent Bid Results 06-07-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38621253
MN,2024,38628060,Apparent Bid Results 06-21-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38628060
MN,2024,38646111,Apparent Bid Results 07-26-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38646111
MN,2024,38659395,Apparent Bid Results 08-23-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38659395
MN,2024,38679740,Apparent Bid Results 09-27-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38679740
MN,2024,38692711,Apparent Bid Results 10-25-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38692711
MN,2024,38696992,Apparent Bid Results 05-17-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38696992
MN,2024,38708534,Apparent Bid Results 11-22-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38708534
MN,2024,38717999,Apparent Bid Results 12-06-2024,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38717999
MN,2025,38749733,Apparent Bid Results 01-29-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38749733
MN,2025,38754124,Apparent Bid Results 02-05-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38754124
MN,2025,38755764,Apparent Bid Results 02-07-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38755764
MN,2025,38767796,Apparent Bid Results 02-26-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38767796
MN,2025,38789739,Apparent Bid Results 03-26-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38789739
MN,2025,38793987,Apparent Bid Results 04-02-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38793987
MN,2025,38803828,Apparent Bid Results 04-16-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38803828
MN,2025,38807180,Apparent Bid Results 04-23-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38807180
MN,2025,38813960,Apparent Bid Results 05-07-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38813960
MN,2025,38821969,Apparent Bid Results 05-21-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38821969
MN,2025,38897767,Apparent Bid Results 06-11-2025,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38897767
