state,year,document_title,pdf_link
SD,2025.0,"September 17, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/09172025final.pdf
SD,2025.0,"September 3, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/09032025final.pdf
SD,2025.0,"August 27, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/08272025final.pdf
SD,2025.0,"August 26, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/08262025final.pdf
SD,2025.0,"August 6, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/08062025final.pdf
SD,2025.0,"July 16, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/07162025final.pdf
SD,2025.0,"July 2, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/07022025final.pdf
SD,2025.0,"June 4, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/06042025final.pdf
SD,2025.0,"May 21, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/05212025final.pdf
SD,2025.0,"May 7, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/05072025final.pdf
SD,2025.0,"April 16, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/04162025final.pdf
SD,2025.0,"April 2, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/04022025final.pdf
SD,2025.0,"March 26, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/03262025final.pdf
SD,2025.0,"March 19, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/03192025final.pdf
SD,2025.0,"March 12, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/03122025final.pdf
SD,2025.0,"March 5, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/03052025final.pdf
SD,2025.0,"February 19, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/02192025final.pdf
SD,2025.0,"February 12, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/02122025final.pdf
SD,2025.0,"February 5, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/02052025final.pdf
SD,2025.0,"January 22, 2025",https://apps.sd.gov/HC65C2C/EBS/lettings/01222025final.pdf
SD,2024.0,"December 11, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/12112024final.pdf
SD,2024.0,"December 4, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/12042024final.pdf
SD,2024.0,"November 20, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/11202024final.pdf
SD,2024.0,"November 6, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/11062024final.pdf
SD,2024.0,"October 16, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/10162024final.pdf
SD,2024.0,"October 2, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/10022024final.pdf
SD,2024.0,"September 18, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/09182024final.pdf
SD,2024.0,"September 4, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/09042024final.pdf
SD,2024.0,"August 21, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/08212024final.pdf
SD,2024.0,"August 7, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/08072024final.pdf
SD,2024.0,"July 17, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/07172024final.pdf
SD,2024.0,"June 26, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/06262024final.pdf
SD,2024.0,"June 5, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/06052024final.pdf
SD,2024.0,"May 15, 2024",https://apps.sd.gov/HC65C2C/EBS/lettings/05152024final.pdf
